stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type
000013_012,高本,,36.099126,139.405513,000013_012,0
000013_013,向谷,,36.098957,139.411319,000013_013,0
000013_014,大里行政センター前,,36.10244,139.41036,000013_014,0
000013_015,津田新田,,36.104828,139.415283,000013_015,0
000013_016,津田,,36.103132,139.420242,000013_016,0
000013_017,太陽の園入口,,36.09656,139.424357,000013_017,0
000013_019,玉作,,36.088916,139.422076,000013_019,0
000013_020,相上,,36.089999,139.414953,000013_020,0
000013_021,吉見小学校前,,36.088604,139.412233,000013_021,0
000013_022,箕輪,,36.082001,139.412068,000013_022,0
000013_023,船木台中央公園前,,36.07795,139.41536,000013_023,0
000013_024,船木台大境公園前,,36.075396,139.419453,000013_024,0
000013_025,小八林原,,36.072755,139.424285,000013_025,0
000013_026,小八林境,,36.075606,139.43032,000013_026,0
000014_002,河原町二丁目,,36.138499,139.385729,000014_002,0
000014_003,お祭り広場西,,36.142643,139.386476,000014_003,0
000014_004,本町駐車場南,,36.143223,139.384515,000014_004,0
000014_005,星渓園東,,36.143888,139.382265,000014_005,0
000014_006,本石,,36.146173,139.380086,000014_006,0
000014_007,慈恵病院前,,36.148697,139.377085,000014_007,0
000014_008,石原小入口,,36.149408,139.378891,000014_008,0
000014_009,中央交番西,,36.148547,139.381991,000014_009,0
000014_010,母子健康センター,,36.152823,139.379802,000014_010,0
000014_011,熊谷保健センター入口,,36.147791,139.384646,000014_011,0
000014_013,本町,,36.144677,139.384461,000014_013,0
000014_014,コミュニティひろば,,36.144243,139.387436,000014_014,0
000014_019,熊谷東小学校,,36.145407,139.395512,000014_019,0
000014_020,県熊谷地方庁舎,,36.143364,139.395761,000014_020,0
000014_021,熊谷団地西,,36.140804,139.396625,000014_021,0
000014_022,銀座二丁目,,36.138791,139.394753,000014_022,0
000014_023,熊谷駅東口,,36.140225,139.390802,000014_023,0
000014_024,筑波二丁目,,36.141554,139.390039,000014_024,0
000014_025,お祭り広場東,,36.142399,139.387296,000014_025,0
000014_026,文化センター前,,36.137613,139.386602,000014_026,0
000015_001,江南行政センター,,36.115201,139.335203,000015_001,0
000015_002,江南中学校東,,36.11568,139.337907,000015_002,0
000015_003,成沢坂上,,36.117972,139.343318,000015_003,0
000015_004,赤城神社,,36.124245,139.345342,000015_004,0
000015_005,JA江南支店南,,36.126105,139.345127,000015_005,0
000015_006,江南北小,,36.128434,139.336333,000015_006,0
000015_007,渡唐神社,,36.130327,139.33052,000015_007,0
000015_008,上押切,,36.133892,139.331716,000015_008,0
000015_009,下押切,,36.132511,139.339992,000015_009,0
000015_010,樋春南,,36.13118,139.347069,000015_010,0
000015_011,JA直売所・なご味,,36.133056,139.348327,000015_011,0
000015_012,御正北,,36.126927,139.353757,000015_012,0
000015_013,御正新田,,36.123397,139.356206,000015_013,0
000015_014,万吉ポンプ場前,,36.120873,139.368267,000015_014,0
000016_003,万吉ポンプ場前,,36.121209,139.369385,000016_003,0
000016_004,御正新田,,36.123328,139.356164,000016_004,0
000016_005,御正北,,36.126972,139.353691,000016_005,0
000016_007,樋春南,,36.13113,139.347082,000016_007,0
000016_008,下押切,,36.13246,139.339971,000016_008,0
